"","Tecnologia","Normas","Capital","Equipo","Empresa"
"108",7.3,2.9,6.3,1.8,"SOFIA-Avicola"
"109",6.7,2.5,5.8,1.8,"SOFIA-Avicola"
"110",7.2,3.6,6.1,2.5,"SOFIA-Avicola"
"111",6.5,3.2,5.1,2,"SOFIA-Avicola"
"112",6.4,2.7,5.3,1.9,"SOFIA-Avicola"
"113",6.8,3,5.5,2.1,"SOFIA-Avicola"
"114",5.7,2.5,5,2,"SOFIA-Avicola"
"115",5.8,2.8,5.1,2.4,"SOFIA-Avicola"
"116",6.4,3.2,5.3,2.3,"SOFIA-Avicola"
"117",6.5,3,5.5,1.8,"SOFIA-Avicola"
"118",7.7,3.8,6.7,2.2,"SOFIA-Avicola"
"119",7.7,2.6,6.9,2.3,"SOFIA-Avicola"
"120",6,2.2,5,1.5,"SOFIA-Avicola"
"121",6.9,3.2,5.7,2.3,"SOFIA-Avicola"
"122",5.6,2.8,4.9,2,"SOFIA-Avicola"
"123",7.7,2.8,6.7,2,"SOFIA-Avicola"
"124",6.3,2.7,4.9,1.8,"SOFIA-Avicola"
"125",6.7,3.3,5.7,2.1,"SOFIA-Avicola"
"126",7.2,3.2,6,1.8,"SOFIA-Avicola"
"127",6.2,2.8,4.8,1.8,"SOFIA-Avicola"
"128",6.1,3,4.9,1.8,"SOFIA-Avicola"
"129",6.4,2.8,5.6,2.1,"SOFIA-Avicola"
"130",7.2,3,5.8,1.6,"SOFIA-Avicola"
"131",7.4,2.8,6.1,1.9,"SOFIA-Avicola"
"132",7.9,3.8,6.4,2,"SOFIA-Avicola"
"133",6.4,2.8,5.6,2.2,"SOFIA-Avicola"
"134",6.3,2.8,5.1,1.5,"SOFIA-Avicola"
"135",6.1,2.6,5.6,1.4,"SOFIA-Avicola"
"136",7.7,3,6.1,2.3,"SOFIA-Avicola"
"137",6.3,3.4,5.6,2.4,"SOFIA-Avicola"
"138",6.4,3.1,5.5,1.8,"SOFIA-Avicola"
"139",6,3,4.8,1.8,"SOFIA-Avicola"
"140",6.9,3.1,5.4,2.1,"SOFIA-Avicola"
"141",6.7,3.1,5.6,2.4,"SOFIA-Avicola"
"142",6.9,3.1,5.1,2.3,"SOFIA-Avicola"
"143",5.8,2.7,5.1,1.9,"SOFIA-Avicola"
"144",6.8,3.2,5.9,2.3,"SOFIA-Avicola"
"145",6.7,3.3,5.7,2.5,"SOFIA-Avicola"
"146",6.7,3,5.2,2.3,"SOFIA-Avicola"
"147",6.3,2.5,5,1.9,"SOFIA-Avicola"
"148",6.5,3,5.2,2,"SOFIA-Avicola"
"149",6.2,3.4,5.4,2.3,"SOFIA-Avicola"
"150",5.9,3,5.1,1.8,"SOFIA-Avicola"
